,ID,London Borough,Date,Average Price
115,E09000020,Kensington & Chelsea,1995-03-01,182878.8231
116,E09000021,Kingston upon Thames,1995-03-01,81111.48848
117,E09000022,Lambeth,1995-03-01,66336.51868
118,E09000023,Lewisham,1995-03-01,60288.03002
119,E09000024,Merton,1995-03-01,80661.68279
120,E09000025,Newham,1995-03-01,53458.26393
121,E09000026,Redbridge,1995-03-01,72501.35502
122,E09000027,Richmond upon Thames,1995-03-01,107325.4742
123,E09000028,Southwark,1995-03-01,65763.29719
124,E09000029,Sutton,1995-03-01,70306.83844
125,E09000030,Tower Hamlets,1995-03-01,63938.67686
126,E09000031,Waltham Forest,1995-03-01,60871.08493
127,E09000032,Wandsworth,1995-03-01,87124.81523
128,E09000033,Westminster,1995-03-01,132260.3417
145,E09000002,Barking & Dagenham,1995-04-01,53133.50526
146,E09000003,Barnet,1995-04-01,90762.87492
147,E09000004,Bexley,1995-04-01,64277.66881
148,E09000005,Brent,1995-04-01,72965.63094
149,E09000006,Bromley,1995-04-01,81124.41227
150,E09000007,Camden,1995-04-01,120097.899
151,E09000008,Croydon,1995-04-01,68610.04641
152,E09000009,Ealing,1995-04-01,82188.90498
153,E09000010,Enfield,1995-04-01,71442.92235
154,E09000011,Greenwich,1995-04-01,61927.7246
155,E09000012,Hackney,1995-04-01,65139.64403
156,E09000013,Hammersmith & Fulham,1995-04-01,121424.6241
157,E09000014,Haringey,1995-04-01,79545.57477
158,E09000015,Harrow,1995-04-01,83567.88439
159,E09000016,Havering,1995-04-01,69444.26215
160,E09000017,Hillingdon,1995-04-01,73911.40591
161,E09000018,Hounslow,1995-04-01,71890.28339
162,E09000019,Islington,1995-04-01,93344.49305
163,E09000020,Kensington & Chelsea,1995-04-01,184176.9168
164,E09000021,Kingston upon Thames,1995-04-01,81672.80476
165,E09000022,Lambeth,1995-04-01,66388.7716
166,E09000023,Lewisham,1995-04-01,59471.03136
167,E09000024,Merton,1995-04-01,79990.54333
168,E09000025,Newham,1995-04-01,54479.75395
169,E09000026,Redbridge,1995-04-01,72228.60295
170,E09000027,Richmond upon Thames,1995-04-01,106875.0
171,E09000028,Southwark,1995-04-01,63073.62117
172,E09000029,Sutton,1995-04-01,69411.9439
173,E09000030,Tower Hamlets,1995-04-01,66233.19383
174,E09000031,Waltham Forest,1995-04-01,60971.39722
175,E09000032,Wandsworth,1995-04-01,87026.00225
176,E09000033,Westminster,1995-04-01,133370.2036
193,E09000002,Barking & Dagenham,1995-05-01,53042.24852
194,E09000003,Barnet,1995-05-01,90258.00033
195,E09000004,Bexley,1995-05-01,63997.13588
196,E09000005,Brent,1995-05-01,73704.04743
197,E09000006,Bromley,1995-05-01,81542.61561
198,E09000007,Camden,1995-05-01,119929.2782
199,E09000008,Croydon,1995-05-01,68844.9169
200,E09000009,Ealing,1995-05-01,82077.05525
201,E09000010,Enfield,1995-05-01,70630.77955
202,E09000011,Greenwich,1995-05-01,63512.99103
203,E09000012,Hackney,1995-05-01,66193.99212
204,E09000013,Hammersmith & Fulham,1995-05-01,124433.539
205,E09000014,Haringey,1995-05-01,79374.0349
206,E09000015,Harrow,1995-05-01,83853.65615
207,E09000016,Havering,1995-05-01,68534.52248
208,E09000017,Hillingdon,1995-05-01,73117.12416
209,E09000018,Hounslow,1995-05-01,72877.47219
210,E09000019,Islington,1995-05-01,94346.39917
211,E09000020,Kensington & Chelsea,1995-05-01,191474.1141
212,E09000021,Kingston upon Thames,1995-05-01,82123.51084
213,E09000022,Lambeth,1995-05-01,69035.11076
214,E09000023,Lewisham,1995-05-01,58551.38387
215,E09000024,Merton,1995-05-01,80873.98643
216,E09000025,Newham,1995-05-01,55803.95958
217,E09000026,Redbridge,1995-05-01,72366.64122
218,E09000027,Richmond upon Thames,1995-05-01,107707.6799
219,E09000028,Southwark,1995-05-01,64420.49933
220,E09000029,Sutton,1995-05-01,69759.21989
221,E09000030,Tower Hamlets,1995-05-01,66432.85846
222,E09000031,Waltham Forest,1995-05-01,61494.16938
223,E09000032,Wandsworth,1995-05-01,86518.05945
224,E09000033,Westminster,1995-05-01,133911.1117
241,E09000002,Barking & Dagenham,1995-06-01,53700.34831
242,E09000003,Barnet,1995-06-01,90107.23471
243,E09000004,Bexley,1995-06-01,64252.32335
244,E09000005,Brent,1995-06-01,74310.48167
245,E09000006,Bromley,1995-06-01,82382.83435
246,E09000007,Camden,1995-06-01,121887.4625
247,E09000008,Croydon,1995-06-01,69052.51103
248,E09000009,Ealing,1995-06-01,81630.66181
249,E09000010,Enfield,1995-06-01,71348.31147
250,E09000011,Greenwich,1995-06-01,64751.56404
251,E09000012,Hackney,1995-06-01,66921.17101
252,E09000013,Hammersmith & Fulham,1995-06-01,126175.1513
253,E09000014,Haringey,1995-06-01,79956.3621
254,E09000015,Harrow,1995-06-01,84173.24689
255,E09000016,Havering,1995-06-01,68464.60664
256,E09000017,Hillingdon,1995-06-01,74005.00585
257,E09000018,Hounslow,1995-06-01,72331.08116
258,E09000019,Islington,1995-06-01,97428.94311
259,E09000020,Kensington & Chelsea,1995-06-01,197265.7602
260,E09000021,Kingston upon Thames,1995-06-01,82205.66822
261,E09000022,Lambeth,1995-06-01,68881.15764
262,E09000023,Lewisham,1995-06-01,58041.43543
263,E09000024,Merton,1995-06-01,80704.92667
264,E09000025,Newham,1995-06-01,56067.76986
265,E09000026,Redbridge,1995-06-01,72279.4325
266,E09000027,Richmond upon Thames,1995-06-01,112865.0542
267,E09000028,Southwark,1995-06-01,64155.81449
268,E09000029,Sutton,1995-06-01,70125.24728
269,E09000030,Tower Hamlets,1995-06-01,66232.16372
270,E09000031,Waltham Forest,1995-06-01,61547.79643
271,E09000032,Wandsworth,1995-06-01,88114.3351
272,E09000033,Westminster,1995-06-01,134562.1941
289,E09000002,Barking & Dagenham,1995-07-01,52113.12157
290,E09000003,Barnet,1995-07-01,91441.24768
291,E09000004,Bexley,1995-07-01,63722.70055
292,E09000005,Brent,1995-07-01,74127.03788
293,E09000006,Bromley,1995-07-01,82898.52264
294,E09000007,Camden,1995-07-01,124027.5768
295,E09000008,Croydon,1995-07-01,69142.48112
296,E09000009,Ealing,1995-07-01,82352.2226
297,E09000010,Enfield,1995-07-01,71837.54011
298,E09000011,Greenwich,1995-07-01,65486.34112
299,E09000012,Hackney,1995-07-01,68390.753
300,E09000013,Hammersmith & Fulham,1995-07-01,124381.5134
301,E09000014,Haringey,1995-07-01,80746.34881
302,E09000015,Harrow,1995-07-01,84226.69844
303,E09000016,Havering,1995-07-01,68680.83996
304,E09000017,Hillingdon,1995-07-01,74671.13263
305,E09000018,Hounslow,1995-07-01,73717.78844
306,E09000019,Islington,1995-07-01,98976.14077
307,E09000020,Kensington & Chelsea,1995-07-01,197963.3169
308,E09000021,Kingston upon Thames,1995-07-01,82525.793
309,E09000022,Lambeth,1995-07-01,69608.72242
310,E09000023,Lewisham,1995-07-01,58126.37811
311,E09000024,Merton,1995-07-01,81055.90335
312,E09000025,Newham,1995-07-01,55458.31693
313,E09000026,Redbridge,1995-07-01,72880.83974
314,E09000027,Richmond upon Thames,1995-07-01,114656.6011
315,E09000028,Southwark,1995-07-01,67024.74767
316,E09000029,Sutton,1995-07-01,70789.57284
317,E09000030,Tower Hamlets,1995-07-01,64692.22672
318,E09000031,Waltham Forest,1995-07-01,61933.52738
319,E09000032,Wandsworth,1995-07-01,89830.58934
320,E09000033,Westminster,1995-07-01,133450.2162
337,E09000002,Barking & Dagenham,1995-08-01,52232.19868
338,E09000003,Barnet,1995-08-01,92361.31512
339,E09000004,Bexley,1995-08-01,64432.60005
340,E09000005,Brent,1995-08-01,73547.0411
341,E09000006,Bromley,1995-08-01,82054.37156
342,E09000007,Camden,1995-08-01,125529.8039
343,E09000008,Croydon,1995-08-01,68993.42545
344,E09000009,Ealing,1995-08-01,82706.65927
345,E09000010,Enfield,1995-08-01,72237.94562
346,E09000011,Greenwich,1995-08-01,65076.43195
347,E09000012,Hackney,1995-08-01,68096.79385
348,E09000013,Hammersmith & Fulham,1995-08-01,123625.3196
349,E09000014,Haringey,1995-08-01,81217.69074
350,E09000015,Harrow,1995-08-01,84430.61796
351,E09000016,Havering,1995-08-01,69023.36482
352,E09000017,Hillingdon,1995-08-01,74967.86534
353,E09000018,Hounslow,1995-08-01,74479.94802
354,E09000019,Islington,1995-08-01,98951.20791
355,E09000020,Kensington & Chelsea,1995-08-01,198037.4218
356,E09000021,Kingston upon Thames,1995-08-01,83342.84552
357,E09000022,Lambeth,1995-08-01,68840.02827
358,E09000023,Lewisham,1995-08-01,58151.3154
359,E09000024,Merton,1995-08-01,80781.09186
360,E09000025,Newham,1995-08-01,54709.35467
361,E09000026,Redbridge,1995-08-01,73275.16891
362,E09000027,Richmond upon Thames,1995-08-01,112320.4096
363,E09000028,Southwark,1995-08-01,65525.94434
364,E09000029,Sutton,1995-08-01,69958.41918
365,E09000030,Tower Hamlets,1995-08-01,63472.27558
366,E09000031,Waltham Forest,1995-08-01,61916.4222
367,E09000032,Wandsworth,1995-08-01,90560.68078
368,E09000033,Westminster,1995-08-01,136581.5082
385,E09000002,Barking & Dagenham,1995-09-01,51471.61353
386,E09000003,Barnet,1995-09-01,93273.12245
387,E09000004,Bexley,1995-09-01,64509.54767
388,E09000005,Brent,1995-09-01,73789.54287
389,E09000006,Bromley,1995-09-01,81440.43008
390,E09000007,Camden,1995-09-01,120596.8511
391,E09000008,Croydon,1995-09-01,69393.50023
392,E09000009,Ealing,1995-09-01,82011.08271
393,E09000010,Enfield,1995-09-01,71725.22104
394,E09000011,Greenwich,1995-09-01,63996.81525
395,E09000012,Hackney,1995-09-01,68752.50284
396,E09000013,Hammersmith & Fulham,1995-09-01,123094.0484
397,E09000014,Haringey,1995-09-01,82142.89052
398,E09000015,Harrow,1995-09-01,83606.97863
399,E09000016,Havering,1995-09-01,68108.186
400,E09000017,Hillingdon,1995-09-01,73843.55239
401,E09000018,Hounslow,1995-09-01,74426.6609
402,E09000019,Islington,1995-09-01,99582.63778
403,E09000020,Kensington & Chelsea,1995-09-01,197047.8333
404,E09000021,Kingston upon Thames,1995-09-01,85110.96835
405,E09000022,Lambeth,1995-09-01,70155.81997
406,E09000023,Lewisham,1995-09-01,58742.99034
407,E09000024,Merton,1995-09-01,80824.70075
408,E09000025,Newham,1995-09-01,54585.50364
409,E09000026,Redbridge,1995-09-01,73204.02373
410,E09000027,Richmond upon Thames,1995-09-01,110424.5703
411,E09000028,Southwark,1995-09-01,63467.00948
412,E09000029,Sutton,1995-09-01,69937.40214
413,E09000030,Tower Hamlets,1995-09-01,62177.59435
414,E09000031,Waltham Forest,1995-09-01,61548.15206
415,E09000032,Wandsworth,1995-09-01,91373.6984
416,E09000033,Westminster,1995-09-01,135993.0705
433,E09000002,Barking & Dagenham,1995-10-01,51513.7576
434,E09000003,Barnet,1995-10-01,92567.38498
435,E09000004,Bexley,1995-10-01,64529.93725
436,E09000005,Brent,1995-10-01,73264.05385
437,E09000006,Bromley,1995-10-01,81862.16087
438,E09000007,Camden,1995-10-01,117458.4922
439,E09000008,Croydon,1995-10-01,68934.61234
440,E09000009,Ealing,1995-10-01,80522.66054
441,E09000010,Enfield,1995-10-01,72349.13744
442,E09000011,Greenwich,1995-10-01,63405.26599
443,E09000012,Hackney,1995-10-01,67619.65052
444,E09000013,Hammersmith & Fulham,1995-10-01,123442.56
445,E09000014,Haringey,1995-10-01,81791.48237
446,E09000015,Harrow,1995-10-01,82492.72882
447,E09000016,Havering,1995-10-01,67425.63891
448,E09000017,Hillingdon,1995-10-01,72992.50159
449,E09000018,Hounslow,1995-10-01,73643.14027
450,E09000019,Islington,1995-10-01,97580.38673
451,E09000020,Kensington & Chelsea,1995-10-01,200005.8308
452,E09000021,Kingston upon Thames,1995-10-01,85726.97473
453,E09000022,Lambeth,1995-10-01,69616.18689
454,E09000023,Lewisham,1995-10-01,58073.14016
455,E09000024,Merton,1995-10-01,79569.22895
456,E09000025,Newham,1995-10-01,54789.55504
457,E09000026,Redbridge,1995-10-01,72917.47147
458,E09000027,Richmond upon Thames,1995-10-01,108406.7006
459,E09000028,Southwark,1995-10-01,60885.98483
460,E09000029,Sutton,1995-10-01,69963.76558
461,E09000030,Tower Hamlets,1995-10-01,62066.45135
462,E09000031,Waltham Forest,1995-10-01,60572.57036
463,E09000032,Wandsworth,1995-10-01,90246.40944
464,E09000033,Westminster,1995-10-01,134513.3863
481,E09000002,Barking & Dagenham,1995-11-01,50848.67787
482,E09000003,Barnet,1995-11-01,90883.16125
483,E09000004,Bexley,1995-11-01,63846.0337
484,E09000005,Brent,1995-11-01,72782.00528
485,E09000006,Bromley,1995-11-01,82557.7755
486,E09000007,Camden,1995-11-01,115418.8396
487,E09000008,Croydon,1995-11-01,68879.74634
488,E09000009,Ealing,1995-11-01,79272.34618
489,E09000010,Enfield,1995-11-01,71987.86869
490,E09000011,Greenwich,1995-11-01,63744.02999
491,E09000012,Hackney,1995-11-01,67237.62827
492,E09000013,Hammersmith & Fulham,1995-11-01,121930.0435
493,E09000014,Haringey,1995-11-01,81129.55891
494,E09000015,Harrow,1995-11-01,82245.73461
495,E09000016,Havering,1995-11-01,66181.79433
496,E09000017,Hillingdon,1995-11-01,71760.09266
497,E09000018,Hounslow,1995-11-01,73047.37035
498,E09000019,Islington,1995-11-01,95030.46517
499,E09000020,Kensington & Chelsea,1995-11-01,199674.9633
500,E09000021,Kingston upon Thames,1995-11-01,84557.41994
501,E09000022,Lambeth,1995-11-01,68054.24621
502,E09000023,Lewisham,1995-11-01,58074.62011
503,E09000024,Merton,1995-11-01,79912.78215
504,E09000025,Newham,1995-11-01,54323.96316
505,E09000026,Redbridge,1995-11-01,72393.65468
506,E09000027,Richmond upon Thames,1995-11-01,109129.876
507,E09000028,Southwark,1995-11-01,61725.34542
508,E09000029,Sutton,1995-11-01,70608.37527
509,E09000030,Tower Hamlets,1995-11-01,62414.27583
510,E09000031,Waltham Forest,1995-11-01,61543.0786
511,E09000032,Wandsworth,1995-11-01,89476.01779
512,E09000033,Westminster,1995-11-01,131740.7854
529,E09000002,Barking & Dagenham,1995-12-01,50945.18535
530,E09000003,Barnet,1995-12-01,91133.89545
531,E09000004,Bexley,1995-12-01,63816.94239
532,E09000005,Brent,1995-12-01,72523.66937
533,E09000006,Bromley,1995-12-01,82966.33012
534,E09000007,Camden,1995-12-01,118739.0147
535,E09000008,Croydon,1995-12-01,68407.14924
536,E09000009,Ealing,1995-12-01,79699.68509
537,E09000010,Enfield,1995-12-01,72390.76252
538,E09000011,Greenwich,1995-12-01,64105.07001
539,E09000012,Hackney,1995-12-01,65864.67386
540,E09000013,Hammersmith & Fulham,1995-12-01,122722.7071
541,E09000014,Haringey,1995-12-01,81327.1995
542,E09000015,Harrow,1995-12-01,82054.42111
543,E09000016,Havering,1995-12-01,66747.26272
544,E09000017,Hillingdon,1995-12-01,72745.82284
545,E09000018,Hounslow,1995-12-01,73499.04742
546,E09000019,Islington,1995-12-01,91095.43508
547,E09000020,Kensington & Chelsea,1995-12-01,200722.0684
548,E09000021,Kingston upon Thames,1995-12-01,83584.37637
549,E09000022,Lambeth,1995-12-01,67199.22587
550,E09000023,Lewisham,1995-12-01,57700.33538
551,E09000024,Merton,1995-12-01,79580.82347
552,E09000025,Newham,1995-12-01,54521.07385
553,E09000026,Redbridge,1995-12-01,72587.48626
554,E09000027,Richmond upon Thames,1995-12-01,108566.7583
555,E09000028,Southwark,1995-12-01,62394.11278
556,E09000029,Sutton,1995-12-01,70204.68906
557,E09000030,Tower Hamlets,1995-12-01,63985.91194
558,E09000031,Waltham Forest,1995-12-01,61389.99541
559,E09000032,Wandsworth,1995-12-01,88478.32853
560,E09000033,Westminster,1995-12-01,133394.3919
577,E09000002,Barking & Dagenham,1996-01-01,50828.11236
578,E09000003,Barnet,1996-01-01,91111.0059
579,E09000004,Bexley,1996-01-01,63995.98809
580,E09000005,Brent,1996-01-01,72806.34981
581,E09000006,Bromley,1996-01-01,82210.29215
582,E09000007,Camden,1996-01-01,119560.4787
583,E09000008,Croydon,1996-01-01,68006.00735
584,E09000009,Ealing,1996-01-01,80214.26526
585,E09000010,Enfield,1996-01-01,71544.17955
586,E09000011,Greenwich,1996-01-01,62417.08225
587,E09000012,Hackney,1996-01-01,66327.29116
588,E09000013,Hammersmith & Fulham,1996-01-01,126913.6659
589,E09000014,Haringey,1996-01-01,81677.24807
590,E09000015,Harrow,1996-01-01,83215.70112
591,E09000016,Havering,1996-01-01,67346.84621
592,E09000017,Hillingdon,1996-01-01,72868.75596
593,E09000018,Hounslow,1996-01-01,73376.75316
594,E09000019,Islington,1996-01-01,89406.19881
595,E09000020,Kensington & Chelsea,1996-01-01,198311.884
596,E09000021,Kingston upon Thames,1996-01-01,82561.00187
597,E09000022,Lambeth,1996-01-01,68779.89129
598,E09000023,Lewisham,1996-01-01,57838.30409
599,E09000024,Merton,1996-01-01,81276.64211
600,E09000025,Newham,1996-01-01,54375.56794
601,E09000026,Redbridge,1996-01-01,72860.51487
602,E09000027,Richmond upon Thames,1996-01-01,111173.6582
603,E09000028,Southwark,1996-01-01,65752.93541
604,E09000029,Sutton,1996-01-01,70031.19539
605,E09000030,Tower Hamlets,1996-01-01,67551.52087
606,E09000031,Waltham Forest,1996-01-01,62059.57219
607,E09000032,Wandsworth,1996-01-01,89091.88568
608,E09000033,Westminster,1996-01-01,133843.1065
625,E09000002,Barking & Dagenham,1996-02-01,51440.74603
626,E09000003,Barnet,1996-02-01,92429.53023
627,E09000004,Bexley,1996-02-01,64503.65692
628,E09000005,Brent,1996-02-01,73084.06255
629,E09000006,Bromley,1996-02-01,81418.50542
630,E09000007,Camden,1996-02-01,123370.7927
631,E09000008,Croydon,1996-02-01,68031.99343
632,E09000009,Ealing,1996-02-01,80836.42097
633,E09000010,Enfield,1996-02-01,71070.19192
634,E09000011,Greenwich,1996-02-01,61713.58637
635,E09000012,Hackney,1996-02-01,66988.24734
636,E09000013,Hammersmith & Fulham,1996-02-01,129462.9145
637,E09000014,Haringey,1996-02-01,83072.90266
638,E09000015,Harrow,1996-02-01,83764.50392
639,E09000016,Havering,1996-02-01,68749.02309
640,E09000017,Hillingdon,1996-02-01,74778.2455
641,E09000018,Hounslow,1996-02-01,73082.11156
642,E09000019,Islington,1996-02-01,89930.2568
643,E09000020,Kensington & Chelsea,1996-02-01,195949.6001
644,E09000021,Kingston upon Thames,1996-02-01,84364.56842
645,E09000022,Lambeth,1996-02-01,72306.1872
646,E09000023,Lewisham,1996-02-01,58273.89866
647,E09000024,Merton,1996-02-01,80460.39552
648,E09000025,Newham,1996-02-01,55117.37979
649,E09000026,Redbridge,1996-02-01,73535.22956
650,E09000027,Richmond upon Thames,1996-02-01,112960.6376
651,E09000028,Southwark,1996-02-01,67876.03255
652,E09000029,Sutton,1996-02-01,69290.69004
653,E09000030,Tower Hamlets,1996-02-01,71069.89695
654,E09000031,Waltham Forest,1996-02-01,61589.40272
655,E09000032,Wandsworth,1996-02-01,89094.98005
656,E09000033,Westminster,1996-02-01,136229.4608
673,E09000002,Barking & Dagenham,1996-03-01,51907.0727
674,E09000003,Barnet,1996-03-01,91409.82097
675,E09000004,Bexley,1996-03-01,64787.98353
676,E09000005,Brent,1996-03-01,72779.77274
677,E09000006,Bromley,1996-03-01,81633.34294
678,E09000007,Camden,1996-03-01,124722.9955
679,E09000008,Croydon,1996-03-01,68269.86869
680,E09000009,Ealing,1996-03-01,81011.37535
681,E09000010,Enfield,1996-03-01,71544.14097
682,E09000011,Greenwich,1996-03-01,62475.35483
683,E09000012,Hackney,1996-03-01,67706.86999
684,E09000013,Hammersmith & Fulham,1996-03-01,134456.94
685,E09000014,Haringey,1996-03-01,82827.76927
686,E09000015,Harrow,1996-03-01,84304.89319
687,E09000016,Havering,1996-03-01,68851.79462
688,E09000017,Hillingdon,1996-03-01,74650.27248
689,E09000018,Hounslow,1996-03-01,71602.79082
690,E09000019,Islington,1996-03-01,90157.795
691,E09000020,Kensington & Chelsea,1996-03-01,197476.6295
692,E09000021,Kingston upon Thames,1996-03-01,84655.84753
693,E09000022,Lambeth,1996-03-01,71762.01901
694,E09000023,Lewisham,1996-03-01,58482.96053
695,E09000024,Merton,1996-03-01,80063.35166
696,E09000025,Newham,1996-03-01,55012.36778
697,E09000026,Redbridge,1996-03-01,73850.30963
698,E09000027,Richmond upon Thames,1996-03-01,114699.521
699,E09000028,Southwark,1996-03-01,68867.26701
700,E09000029,Sutton,1996-03-01,69732.27564
701,E09000030,Tower Hamlets,1996-03-01,69637.53256
702,E09000031,Waltham Forest,1996-03-01,61695.20307
703,E09000032,Wandsworth,1996-03-01,90460.7968
704,E09000033,Westminster,1996-03-01,132809.6802
721,E09000002,Barking & Dagenham,1996-04-01,51724.02571
722,E09000003,Barnet,1996-04-01,92394.18958
723,E09000004,Bexley,1996-04-01,65285.91687
724,E09000005,Brent,1996-04-01,72369.71621
725,E09000006,Bromley,1996-04-01,81480.63573
726,E09000007,Camden,1996-04-01,129158.517
727,E09000008,Croydon,1996-04-01,68897.631
728,E09000009,Ealing,1996-04-01,81041.0616
729,E09000010,Enfield,1996-04-01,72517.3322
730,E09000011,Greenwich,1996-04-01,64644.68179
731,E09000012,Hackney,1996-04-01,67061.78846
732,E09000013,Hammersmith & Fulham,1996-04-01,131883.6783
733,E09000014,Haringey,1996-04-01,83631.18089
734,E09000015,Harrow,1996-04-01,84108.82158
735,E09000016,Havering,1996-04-01,68377.31553
736,E09000017,Hillingdon,1996-04-01,75171.04265
737,E09000018,Hounslow,1996-04-01,71630.09888
738,E09000019,Islington,1996-04-01,94201.35982
739,E09000020,Kensington & Chelsea,1996-04-01,201218.2139
740,E09000021,Kingston upon Thames,1996-04-01,86285.08696
741,E09000022,Lambeth,1996-04-01,71664.03223
742,E09000023,Lewisham,1996-04-01,59520.18907
743,E09000024,Merton,1996-04-01,82033.54911
744,E09000025,Newham,1996-04-01,54700.51295
745,E09000026,Redbridge,1996-04-01,74676.48488
746,E09000027,Richmond upon Thames,1996-04-01,114881.3497
747,E09000028,Southwark,1996-04-01,69598.08269
748,E09000029,Sutton,1996-04-01,69485.02452
749,E09000030,Tower Hamlets,1996-04-01,66727.03737
750,E09000031,Waltham Forest,1996-04-01,61466.51965
751,E09000032,Wandsworth,1996-04-01,90408.27366
752,E09000033,Westminster,1996-04-01,134668.1595
769,E09000002,Barking & Dagenham,1996-05-01,51735.7298
770,E09000003,Barnet,1996-05-01,91058.91069
771,E09000004,Bexley,1996-05-01,65080.67179
772,E09000005,Brent,1996-05-01,72994.82811
773,E09000006,Bromley,1996-05-01,82372.45739
774,E09000007,Camden,1996-05-01,135335.591
775,E09000008,Croydon,1996-05-01,68831.80146
776,E09000009,Ealing,1996-05-01,81821.0188
777,E09000010,Enfield,1996-05-01,73630.49938
778,E09000011,Greenwich,1996-05-01,66461.74834
779,E09000012,Hackney,1996-05-01,66986.24782
780,E09000013,Hammersmith & Fulham,1996-05-01,130970.0502
781,E09000014,Haringey,1996-05-01,84139.18163
782,E09000015,Harrow,1996-05-01,84738.3242
783,E09000016,Havering,1996-05-01,68156.21512
784,E09000017,Hillingdon,1996-05-01,74453.72079
785,E09000018,Hounslow,1996-05-01,72828.58776
786,E09000019,Islington,1996-05-01,97260.34402
787,E09000020,Kensington & Chelsea,1996-05-01,202340.568
788,E09000021,Kingston upon Thames,1996-05-01,85939.13308
789,E09000022,Lambeth,1996-05-01,71386.2398
790,E09000023,Lewisham,1996-05-01,60172.77171
